timestamp,avg_ear,blink_detected,blink_rate,baseline_ear,baseline_blink_rate,ear_deviation,blink_rate_deviation
1767115290.835391,0.2396,0,52.0,0.2334,38.0,0.0062,14.0
1767115290.8670263,0.2396,0,52.0,0.2334,38.0,0.0062,14.0
1767115290.8972998,0.2458,0,52.0,0.2334,38.0,0.0124,14.0
1767115290.9324505,0.2449,0,52.0,0.2334,38.0,0.0115,14.0
1767115290.9582965,0.2449,0,52.0,0.2334,38.0,0.0115,14.0
1767115291.0155284,0.2442,0,52.0,0.2334,38.0,0.0108,14.0
1767115291.0425732,0.266,0,52.0,0.2334,38.0,0.0326,14.0
1767115291.0709038,0.264,0,52.0,0.2334,38.0,0.0306,14.0
1767115291.1046638,0.2561,0,52.0,0.2334,38.0,0.0227,14.0
1767115291.1352062,0.2608,0,52.0,0.2334,38.0,0.0274,14.0
1767115291.1673229,0.2659,0,52.0,0.2334,38.0,0.0325,14.0
1767115291.2038863,0.2655,0,52.0,0.2334,38.0,0.0321,14.0
1767115291.2333415,0.2463,0,51.0,0.2334,38.0,0.0129,13.0
1767115291.2682023,0.2458,0,51.0,0.2334,38.0,0.0124,13.0
1767115291.2942739,0.2504,0,51.0,0.2334,38.0,0.017,13.0
1767115291.347909,0.2601,0,51.0,0.2334,38.0,0.0267,13.0
1767115291.3772645,0.261,0,51.0,0.2334,38.0,0.0276,13.0
1767115291.407046,0.2366,0,51.0,0.2334,38.0,0.0032,13.0
1767115291.4430215,0.2376,0,51.0,0.2334,38.0,0.0042,13.0
1767115291.4753668,0.2504,0,51.0,0.2334,38.0,0.017,13.0
1767115291.5054474,0.2587,0,51.0,0.2334,38.0,0.0253,13.0
1767115291.5356395,0.2424,0,51.0,0.2334,38.0,0.009,13.0
1767115291.5661101,0.2464,0,51.0,0.2334,38.0,0.013,13.0
1767115291.6000361,0.2561,0,51.0,0.2334,38.0,0.0227,13.0
1767115291.6314242,0.2504,0,51.0,0.2334,38.0,0.017,13.0
1767115291.6836448,0.2567,0,51.0,0.2334,38.0,0.0233,13.0
1767115291.7142587,0.2561,0,51.0,0.2334,38.0,0.0227,13.0
1767115291.742482,0.2567,0,51.0,0.2334,38.0,0.0233,13.0
1767115291.7770267,0.2546,0,51.0,0.2334,38.0,0.0212,13.0
1767115291.8082101,0.2659,0,51.0,0.2334,38.0,0.0325,13.0
1767115291.8406336,0.2615,0,51.0,0.2334,38.0,0.0281,13.0
1767115291.8763237,0.2659,0,51.0,0.2334,38.0,0.0325,13.0
1767115291.9038966,0.2561,0,51.0,0.2334,38.0,0.0227,13.0
1767115291.9401314,0.2458,0,51.0,0.2334,38.0,0.0124,13.0
1767115291.969561,0.2561,0,51.0,0.2334,38.0,0.0227,13.0
1767115292.022781,0.2352,0,51.0,0.2334,38.0,0.0018,13.0
1767115292.050082,0.2464,0,51.0,0.2334,38.0,0.013,13.0
1767115292.0776744,0.2458,0,51.0,0.2334,38.0,0.0124,13.0
1767115292.1127255,0.2308,0,51.0,0.2334,38.0,-0.0026,13.0
1767115292.1448886,0.2361,0,51.0,0.2334,38.0,0.0027,13.0
1767115292.1766279,0.2352,0,51.0,0.2334,38.0,0.0018,13.0
1767115292.2097347,0.2345,0,51.0,0.2334,38.0,0.0011,13.0
1767115292.2433746,0.2361,0,51.0,0.2334,38.0,0.0027,13.0
1767115292.2790203,0.2352,0,51.0,0.2334,38.0,0.0018,13.0
1767115292.3060234,0.2538,0,51.0,0.2334,38.0,0.0204,13.0
1767115292.357419,0.2352,0,51.0,0.2334,38.0,0.0018,13.0
1767115292.3859735,0.2299,0,51.0,0.2334,38.0,-0.0035,13.0
1767115292.404705,0.2299,0,51.0,0.2334,38.0,-0.0035,13.0
1767115292.4549637,0.2359,0,51.0,0.2334,38.0,0.0025,13.0
1767115292.4815657,0.2407,0,51.0,0.2334,38.0,0.0073,13.0
1767115292.5144346,0.2363,0,51.0,0.2334,38.0,0.0029,13.0
1767115292.5436745,0.2269,0,51.0,0.2334,38.0,-0.0065,13.0
1767115292.5792613,0.2255,0,51.0,0.2334,38.0,-0.0079,13.0
1767115292.609766,0.24,0,51.0,0.2334,38.0,0.0066,13.0
1767115292.643891,0.242,0,51.0,0.2334,38.0,0.0086,13.0
1767115292.6921172,0.2398,0,51.0,0.2334,38.0,0.0064,13.0
1767115292.7187555,0.2444,0,51.0,0.2334,38.0,0.011,13.0
1767115292.7370589,0.2444,0,51.0,0.2334,38.0,0.011,13.0
1767115292.7683852,0.2398,0,51.0,0.2334,38.0,0.0064,13.0
1767115292.824843,0.2622,0,51.0,0.2334,38.0,0.0288,13.0
1767115292.8569236,0.251,0,51.0,0.2334,38.0,0.0176,13.0
1767115292.8792686,0.2337,0,51.0,0.2334,38.0,0.0003,13.0
1767115292.9136837,0.2389,0,51.0,0.2334,38.0,0.0055,13.0
1767115292.9470417,0.2501,0,51.0,0.2334,38.0,0.0167,13.0
1767115292.97641,0.2453,0,51.0,0.2334,38.0,0.0119,13.0
1767115293.0261552,0.2389,0,51.0,0.2334,38.0,0.0055,13.0
1767115293.0571492,0.251,0,51.0,0.2334,38.0,0.0176,13.0
1767115293.0736434,0.251,0,51.0,0.2334,38.0,0.0176,13.0
1767115293.101273,0.2474,0,51.0,0.2334,38.0,0.014,13.0
1767115293.1190999,0.2398,0,51.0,0.2334,38.0,0.0064,13.0
1767115293.1580884,0.2352,0,51.0,0.2334,38.0,0.0018,13.0
1767115293.1953514,0.2343,0,51.0,0.2334,38.0,0.0009,13.0
1767115293.2519364,0.2231,0,51.0,0.2334,38.0,-0.0103,13.0
1767115293.2825267,0.2156,0,51.0,0.2334,38.0,-0.0178,13.0
1767115293.311869,0.2343,0,51.0,0.2334,38.0,0.0009,13.0
1767115293.3615217,0.2343,0,51.0,0.2334,38.0,0.0009,13.0
1767115293.3910446,0.2239,0,51.0,0.2334,38.0,-0.0095,13.0
1767115293.4101295,0.2239,0,51.0,0.2334,38.0,-0.0095,13.0
1767115293.431781,0.2319,0,51.0,0.2334,38.0,-0.0015,13.0
1767115293.4548883,0.2277,0,51.0,0.2334,38.0,-0.0057,13.0
1767115293.4897,0.2308,0,51.0,0.2334,38.0,-0.0026,13.0
1767115293.5210288,0.2449,0,51.0,0.2334,38.0,0.0115,13.0
1767115293.5582988,0.2464,0,51.0,0.2334,38.0,0.013,13.0
1767115293.5837789,0.242,0,51.0,0.2334,38.0,0.0086,13.0
1767115293.6507554,0.2474,0,51.0,0.2334,38.0,0.014,13.0
1767115293.6989403,0.2501,0,51.0,0.2334,38.0,0.0167,13.0
1767115293.7321105,0.2407,0,51.0,0.2334,38.0,0.0073,13.0
1767115293.7503414,0.2407,0,51.0,0.2334,38.0,0.0073,13.0
1767115293.772797,0.266,0,51.0,0.2334,38.0,0.0326,13.0
1767115293.7935164,0.2558,0,51.0,0.2334,38.0,0.0224,13.0
1767115293.8280468,0.2501,0,51.0,0.2334,38.0,0.0167,13.0
1767115293.8593204,0.2399,0,50.0,0.2334,38.0,0.0065,12.0
1767115293.888516,0.2455,0,50.0,0.2334,38.0,0.0121,12.0
1767115293.9201567,0.2455,0,50.0,0.2334,38.0,0.0121,12.0
1767115293.95462,0.2495,0,50.0,0.2334,38.0,0.0161,12.0
1767115293.9853039,0.2495,0,50.0,0.2334,38.0,0.0161,12.0
1767115294.0714564,0.1106,0,50.0,0.2334,38.0,-0.1228,12.0
1767115294.0878632,0.1106,0,50.0,0.2334,38.0,-0.1228,12.0
1767115294.1098917,0.0452,0,50.0,0.2334,38.0,-0.1882,12.0
1767115294.126921,0.0473,0,50.0,0.2334,38.0,-0.1861,12.0
1767115294.1646879,0.0656,0,50.0,0.2334,38.0,-0.1678,12.0
1767115294.1939232,0.1313,0,50.0,0.2334,38.0,-0.1021,12.0
1767115294.2239003,0.1784,0,50.0,0.2334,38.0,-0.055,12.0
1767115294.258366,0.1878,0,50.0,0.2334,38.0,-0.0456,12.0
1767115294.2875366,0.1983,0,50.0,0.2334,38.0,-0.0351,12.0
1767115294.320796,0.2091,0,50.0,0.2334,38.0,-0.0243,12.0
1767115294.3718524,0.2341,1,51.0,0.2334,38.0,0.0007,13.0
1767115294.405945,0.2328,0,51.0,0.2334,38.0,-0.0006,13.0
1767115294.4321704,0.2184,0,51.0,0.2334,38.0,-0.015,13.0
